esp_code_alternatif,esp_code_taxref
ABH,67286
ABI,418766
ABL,67111
AGO,418900
ALA,66967
ALF,66996
ALR,67003
ALX,188998
AMA,418765
AMB,418771
AMO,418767
AN?,189171
ANC,67053
ANG,66832
APC,68802
APE,68808
APH,70198
APP,18437
APR,69378
APT,159447
ASA,18432
ASL,162666
ASP,67131
AT?,189603
ATB,386340
ATH,386341
ATS,386339
ATY,418785
AWA,535122
BAE,200254
BAF,67143
BAM,67179
BAX,189750
BBB,67574
BBG,69346
BBP,424843
BBX,194751
BLX,189915
BLE,70014
BLN,67335
BOU,67420
BRB,67203
BRD,67078
BRE,67074
BRO,67606
BRX,188673
CAD,426012
CAA,67208
CAG,67210
CAK,67058
CAR,67275
CAS,67206
CAT,418786
CAX,190332
CCA,534584
CCO,67058
CCU,67058
CCX,191469
CDR,69336
CGR,66921
CGT,67277
CHA,69182
CHC,459646
CHE,67310
CHP,159453
CLU,185758
CMI,67058
COA,418903
COR,191138
CPV,68817
CRB,18409
CRC,18515
CRE,162669
CRG,18422
CRI,67819
CTI,67246
CYP,185760
ECR,184448
ELF,418775
ELM,418776
EPE,67749
EPI,426026
EPT,69016
ES?,188758
EST,66775
FLE,70554
GAM,68825
GAR,67422
GBN,70142
GDL,521597
GFL,70166
GKS,70175
GLO,419271
GOA,388244
GOB,70287
GOK,347994
GOL,347973
GON,69963
GOO,388245
GOU,67257
GOX,192866
GRC,162671
GRE,69354
GRI,342
GRT,308
GRV,320
GTN,70155
GUP,68823
HAR,67026
HOT,67220
HOX,825329
HUC,67794
HBG,825329
IDE,67304
KUL,418773
LAN,70076
LIJ,68363
LIP,69269
LOB,67505
LOE,67534
LOF,67550
LOM,69321
LOR,67506
LOT,68336
LOU,69317
LOX,903359
LPM,66315
LPP,66333
LPR,66330
LPX,193826
MAA,418790
MAC,348416
MAH,432662
MAI,69696
MAL,418788
MAT,432663
MER,68357
MGL,69777
MIC,426033
MOT,68387
MUC,69772
MUD,69783
MUP,69790
MUS,69794
OBL,67837
OBR,67759
OCL,17646
OME,425883
OMI,426037
ONI,426039
ORE,200263
PAP,199188
PCC,162668
PCH,67571
PER,69350
PES,69338
PFL,162667
PHX,196170
PIM,67401
PLI,70548
POB,432664
PRX,185832
PSR,67415
PTM,67854
RBC,66690
ROT,67466
ROX,212775
RUB,67455
SAL,185896
SAN,69372
SAR,67035
SAT,67765
SCH,162674
SCO,67800
SDF,67817
SIC,418783
SIL,67585
SOL,70648
SPI,67104
SPT,67049
SQX,200261
STE,418904
STL,66783
SYN,69045
TAC,67804
TAD,68372
TAN,67478
TFA,544318
TIL,185826
TOX,458701
TRC,67782
TRF,67778
TRL,67781
TRM,67774
UMP,67612
VAB,443292
VAC,443293
VAI,67404
VAL,418793
VAN,67295
VAR,67292
VCU,425955
VIM,67498
VRO,425957
XIP,425982
YIR,418898
OCI,320575
OCJ,534582
PCF,845451
OCV,652161
LP?,185699
OPG,845445
OPX,845444
GBT,70284
PCV,924104
ESX,192348
SRO,67798
FAR,930604
ROI,348007
GAX,192695
BLI,847533
OBX,198445
BRA,781090
BRI,781088
GAH,68827
OBA,932869
VAD,560898
VAF,966344
